"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"69","Tadorna radjah","Radjah radjah","Radjah radjah","Anatidae (Ducks, Geese, and Waterfowl)","Radjah Shelduck",0.840510308,NA,NA,NA,NA
"70","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Anatidae (Ducks, Geese, and Waterfowl)","Egyptian Goose",1.93030523564286,NA,NA,NA,NA
"71","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea","Anatidae (Ducks, Geese, and Waterfowl)","Ruddy Shelduck",1.69493414654545,NA,NA,NA,NA
"72","Tadorna cana","Tadorna cana","Tadorna cana","Anatidae (Ducks, Geese, and Waterfowl)","South African Shelduck",1.290385297,NA,NA,NA,NA
"73","Tadorna tadornoides","Tadorna tadornoides","Tadorna tadornoides","Anatidae (Ducks, Geese, and Waterfowl)","Australian Shelduck",1.003822003,NA,NA,NA,NA
"74","Tadorna variegata","Tadorna variegata","Tadorna variegata","Anatidae (Ducks, Geese, and Waterfowl)","Paradise Shelduck",0.887279352,NA,NA,NA,NA
"75","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Anatidae (Ducks, Geese, and Waterfowl)","Common Shelduck",1.478695685625,NA,NA,NA,NA
"76","Plectropterus gambensis","Plectropterus gambensis","Plectropterus gambensis","Anatidae (Ducks, Geese, and Waterfowl)","Spur-winged Goose",1.2936812125,NA,NA,NA,NA
"77","Tachyeres patachonicus","Tachyeres patachonicus","Tachyeres patachonicus","Anatidae (Ducks, Geese, and Waterfowl)","Flying Steamer-Duck",1.241020607,NA,NA,NA,NA
"78","Tachyeres pteneres","Tachyeres pteneres","Tachyeres pteneres","Anatidae (Ducks, Geese, and Waterfowl)","Flightless Steamer-Duck",0.4965967635,NA,NA,NA,NA
"79","Lophonetta specularioides","Lophonetta specularioides","Lophonetta specularioides","Anatidae (Ducks, Geese, and Waterfowl)","Crested Duck",0.485419234,NA,NA,NA,NA
"80","Speculanas specularis","Speculanas specularis","Speculanas specularis","Anatidae (Ducks, Geese, and Waterfowl)","Spectacled Duck",0.399711877,NA,NA,NA,NA
"81","Cairina moschata","Cairina moschata","Cairina moschata","Anatidae (Ducks, Geese, and Waterfowl)","Muscovy Duck",1.54239651525,NA,NA,NA,NA
"82","Nettapus pulchellus","Nettapus pulchellus","Nettapus pulchellus","Anatidae (Ducks, Geese, and Waterfowl)","Green Pygmy-Goose",1.396210761,NA,NA,NA,NA
"83","Nettapus coromandelianus","Nettapus coromandelianus","Nettapus coromandelianus","Anatidae (Ducks, Geese, and Waterfowl)","Cotton Pygmy-Goose",1.29839130988889,NA,NA,NA,NA
"84","Callonetta leucophrys","Callonetta leucophrys","Callonetta leucophrys","Anatidae (Ducks, Geese, and Waterfowl)","Ringed Teal",1.810459088,NA,NA,NA,NA
"85","Aix sponsa","Aix sponsa","Aix sponsa","Anatidae (Ducks, Geese, and Waterfowl)","Wood Duck",1.95186535484,"Aix sponsa",1.743509213,NA,NA
"86","Aix galericulata","Aix galericulata","Aix galericulata","Anatidae (Ducks, Geese, and Waterfowl)","Mandarin Duck",2.59087557418182,NA,NA,NA,NA
"87","Chenonetta jubata","Chenonetta jubata","Chenonetta jubata","Anatidae (Ducks, Geese, and Waterfowl)","Maned Duck",1.56996266971429,NA,NA,NA,NA
"88","Amazonetta brasiliensis","Amazonetta brasiliensis","Amazonetta brasiliensis","Anatidae (Ducks, Geese, and Waterfowl)","Brazilian Teal",1.88254551783333,NA,NA,NA,NA
"89","Merganetta armata","Merganetta armata","Merganetta armata","Anatidae (Ducks, Geese, and Waterfowl)","Torrent Duck",0.350282191,NA,NA,NA,NA
"90","Anas querquedula","Spatula querquedula","Spatula querquedula","Anatidae (Ducks, Geese, and Waterfowl)","Garganey",1.38183604504545,NA,NA,NA,NA
"91","Anas hottentota","Spatula hottentota","Spatula hottentota","Anatidae (Ducks, Geese, and Waterfowl)","Blue-billed Teal",1.4543910414,NA,NA,NA,NA
"92","Anas versicolor","Spatula versicolor","Spatula versicolor","Anatidae (Ducks, Geese, and Waterfowl)","Silver Teal",1.32194641866667,NA,NA,NA,NA
"93","Anas puna","Spatula puna","Spatula puna","Anatidae (Ducks, Geese, and Waterfowl)","Puna Teal",0.484651279,NA,NA,NA,NA
"94","Anas discors","Spatula discors","Spatula discors","Anatidae (Ducks, Geese, and Waterfowl)","Blue-winged Teal",1.58146077876923,"Spatula discors",-1.095003472,"Anas discors","N"
"95","Anas cyanoptera","Spatula cyanoptera","Spatula cyanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Cinnamon Teal",1.38944616913043,"Spatula cyanoptera",0.291610958,"Anas cyanoptera","N"
"96","Anas platalea","Spatula platalea","Spatula platalea","Anatidae (Ducks, Geese, and Waterfowl)","Red Shoveler",1.4697695848,NA,NA,NA,NA
"97","Anas smithii","Spatula smithii","Spatula smithii","Anatidae (Ducks, Geese, and Waterfowl)","Cape Shoveler",1.6885350335,NA,NA,NA,NA
"98","Anas rhynchotis","Spatula rhynchotis","Spatula rhynchotis","Anatidae (Ducks, Geese, and Waterfowl)","Australasian Shoveler",1.144302746,NA,NA,NA,NA
"99","Anas clypeata","Spatula clypeata","Spatula clypeata","Anatidae (Ducks, Geese, and Waterfowl)","Northern Shoveler",1.63667720925373,"Spatula clypeata",-1.273463061,"Anas clypeata","N"
"100","Anas strepera","Mareca strepera","Mareca strepera","Anatidae (Ducks, Geese, and Waterfowl)","Gadwall",1.60834040701818,"Mareca strepera",-0.813712493,"Anas strepera","N"
"101","Anas falcata","Mareca falcata","Mareca falcata","Anatidae (Ducks, Geese, and Waterfowl)","Falcated Duck",2.03795672333333,NA,NA,NA,NA
"102","Anas penelope","Mareca penelope","Mareca penelope","Anatidae (Ducks, Geese, and Waterfowl)","Eurasian Wigeon",1.48722745879412,NA,NA,"Anas penelope","N"
"103","Anas americana","Mareca americana","Mareca americana","Anatidae (Ducks, Geese, and Waterfowl)","American Wigeon",1.71583221410345,"Mareca americana",-1.162931818,"Anas americana","N"
"104","Anas sibilatrix","Mareca sibilatrix","Mareca sibilatrix","Anatidae (Ducks, Geese, and Waterfowl)","Chiloe Wigeon",1.7213124996,NA,NA,NA,NA
"105","Anas sparsa","Anas sparsa","Anas sparsa","Anatidae (Ducks, Geese, and Waterfowl)","African Black Duck",1.970382216,NA,NA,NA,NA
"106","Anas undulata","Anas undulata","Anas undulata","Anatidae (Ducks, Geese, and Waterfowl)","Yellow-billed Duck",1.20223945083333,NA,NA,NA,NA
"107","Anas melleri","Anas melleri","Anas melleri","Anatidae (Ducks, Geese, and Waterfowl)","Meller's Duck",1.637810119,NA,NA,NA,NA
"108","Anas superciliosa","Anas superciliosa","Anas superciliosa","Anatidae (Ducks, Geese, and Waterfowl)","Pacific Black Duck",1.5392537233,NA,NA,NA,NA
"109","Anas poecilorhyncha","Anas poecilorhyncha","Anas poecilorhyncha","Anatidae (Ducks, Geese, and Waterfowl)","Indian Spot-billed Duck",1.48346018,NA,NA,NA,NA
"110","Anas poecilorhyncha","Anas zonorhyncha","Anas zonorhyncha","Anatidae (Ducks, Geese, and Waterfowl)","Eastern Spot-billed Duck",2.21250549228571,NA,NA,NA,NA
"111","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anatidae (Ducks, Geese, and Waterfowl)","Mallard",2.02728985370968,"Anas platyrhynchos",1.830146203,"Anas platyrhynchos","U"
"112","Anas rubripes","Anas rubripes","Anas rubripes","Anatidae (Ducks, Geese, and Waterfowl)","American Black Duck",2.08335016022222,"Anas rubripes",0.251627341,"Anas rubripes","N"
"113","Anas fulvigula","Anas fulvigula","Anas fulvigula","Anatidae (Ducks, Geese, and Waterfowl)","Mottled Duck",1.580106454,"Anas fulvigula",1.471974087,NA,NA
"114","Anas capensis","Anas capensis","Anas capensis","Anatidae (Ducks, Geese, and Waterfowl)","Cape Teal",1.496115375,NA,NA,NA,NA
"115","Anas bahamensis","Anas bahamensis","Anas bahamensis","Anatidae (Ducks, Geese, and Waterfowl)","White-cheeked Pintail",1.42971039342857,NA,NA,NA,NA
"116","Anas erythrorhyncha","Anas erythrorhyncha","Anas erythrorhyncha","Anatidae (Ducks, Geese, and Waterfowl)","Red-billed Duck",1.3991442454,NA,NA,NA,NA
"117","Anas acuta","Anas acuta","Anas acuta","Anatidae (Ducks, Geese, and Waterfowl)","Northern Pintail",1.45530456862264,"Anas acuta",-1.631365837,"Anas acuta","N"
"118","Anas georgica","Anas georgica","Anas georgica","Anatidae (Ducks, Geese, and Waterfowl)","Yellow-billed Pintail",1.306757826875,NA,NA,NA,NA
"119","Anas crecca","Anas crecca","Anas crecca","Anatidae (Ducks, Geese, and Waterfowl)","Green-winged Teal",1.56755624963077,"Anas crecca",-1.499926389,"Anas crecca","N"
"120","Anas andium","Anas andium","Anas andium","Anatidae (Ducks, Geese, and Waterfowl)","Andean Teal",0.235593219,NA,NA,NA,NA
"121","Anas flavirostris","Anas flavirostris","Anas flavirostris","Anatidae (Ducks, Geese, and Waterfowl)","Yellow-billed Teal",1.40053455277778,NA,NA,NA,NA
"122","Anas gibberifrons","Anas albogularis","Anas albogularis","Anatidae (Ducks, Geese, and Waterfowl)","Andaman Teal",0.567790875,NA,NA,NA,NA
"123","Anas gibberifrons","Anas gibberifrons","Anas gibberifrons","Anatidae (Ducks, Geese, and Waterfowl)","Sunda Teal",2.869584218,NA,NA,NA,NA
"124","Anas gracilis","Anas gracilis","Anas gracilis","Anatidae (Ducks, Geese, and Waterfowl)","Gray Teal",1.2110739561,NA,NA,NA,NA
"125","Anas castanea","Anas castanea","Anas castanea","Anatidae (Ducks, Geese, and Waterfowl)","Chestnut Teal",1.68123703483333,NA,NA,NA,NA
"126","Anas chlorotis","Anas chlorotis","Anas chlorotis","Anatidae (Ducks, Geese, and Waterfowl)","Brown Teal",0.32907421,NA,NA,NA,NA
"127","Malacorhynchus membranaceus","Malacorhynchus membranaceus","Malacorhynchus membranaceus","Anatidae (Ducks, Geese, and Waterfowl)","Pink-eared Duck",1.28954163366667,NA,NA,NA,NA
"128","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris","Anatidae (Ducks, Geese, and Waterfowl)","Marbled Teal",0.922549488,NA,NA,NA,NA
"129","Netta rufina","Netta rufina","Netta rufina","Anatidae (Ducks, Geese, and Waterfowl)","Red-crested Pochard",1.2702455093,NA,NA,NA,NA
"130","Netta erythrophthalma","Netta erythrophthalma","Netta erythrophthalma","Anatidae (Ducks, Geese, and Waterfowl)","Southern Pochard",1.903545918,NA,NA,NA,NA
"131","Netta peposaca","Netta peposaca","Netta peposaca","Anatidae (Ducks, Geese, and Waterfowl)","Rosy-billed Pochard",1.34992887333333,NA,NA,NA,NA
"132","Aythya valisineria","Aythya valisineria","Aythya valisineria","Anatidae (Ducks, Geese, and Waterfowl)","Canvasback",1.88557809873913,"Aythya valisineria",-1.142240637,NA,NA
"133","Aythya americana","Aythya americana","Aythya americana","Anatidae (Ducks, Geese, and Waterfowl)","Redhead",1.81146714304,"Aythya americana",-1.21704851,NA,NA
"134","Aythya ferina","Aythya ferina","Aythya ferina","Anatidae (Ducks, Geese, and Waterfowl)","Common Pochard",1.62421292504167,NA,NA,NA,NA
"135","Aythya collaris","Aythya collaris","Aythya collaris","Anatidae (Ducks, Geese, and Waterfowl)","Ring-necked Duck",1.83768625630303,"Aythya collaris",-1.447797292,NA,NA
"136","Aythya nyroca","Aythya nyroca","Aythya nyroca","Anatidae (Ducks, Geese, and Waterfowl)","Ferruginous Duck",1.11689589690909,NA,NA,NA,NA
"137","Aythya australis","Aythya australis","Aythya australis","Anatidae (Ducks, Geese, and Waterfowl)","Hardhead",1.62357518,NA,NA,NA,NA
