"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"160","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","Anatidae (Ducks, Geese, and Waterfowl)","Ruddy Duck",1.73547800248387,"Oxyura jamaicensis",-0.464383295,NA,NA
"161","Oxyura jamaicensis","Oxyura ferruginea","Oxyura ferruginea","Anatidae (Ducks, Geese, and Waterfowl)","Andean Duck",1.68541628666667,NA,NA,NA,NA
"162","Oxyura maccoa","Oxyura maccoa","Oxyura maccoa","Anatidae (Ducks, Geese, and Waterfowl)","Maccoa Duck",1.840798975,NA,NA,NA,NA
"163","Oxyura vittata","Oxyura vittata","Oxyura vittata","Anatidae (Ducks, Geese, and Waterfowl)","Lake Duck",1.82050380375,NA,NA,NA,NA
"164","Oxyura australis","Oxyura australis","Oxyura australis","Anatidae (Ducks, Geese, and Waterfowl)","Blue-billed Duck",1.210167296,NA,NA,NA,NA
"165","Biziura lobata","Biziura lobata","Biziura lobata","Anatidae (Ducks, Geese, and Waterfowl)","Musk Duck",0.9235235312,NA,NA,NA,NA
"166","Alectura lathami","Alectura lathami","Alectura lathami","Megapodiidae (Megapodes)","Australian Brushturkey",1.43824468733333,NA,NA,NA,NA
"167","Megapodius reinwardt","Megapodius reinwardt","Megapodius reinwardt","Megapodiidae (Megapodes)","Orange-footed Megapode",1.247367693,NA,NA,NA,NA
"168","Ortalis vetula","Ortalis vetula","Ortalis vetula","Cracidae (Guans, Chachalacas, and Curassows)","Plain Chachalaca",0.9461623622,NA,NA,NA,NA
"169","Ortalis cinereiceps","Ortalis cinereiceps","Ortalis cinereiceps","Cracidae (Guans, Chachalacas, and Curassows)","Gray-headed Chachalaca",1.237008595,NA,NA,NA,NA
"170","Ortalis ruficauda","Ortalis ruficauda","Ortalis ruficauda","Cracidae (Guans, Chachalacas, and Curassows)","Rufous-vented Chachalaca",2.828487564,NA,NA,NA,NA
"171","Ortalis erythroptera","Ortalis erythroptera","Ortalis erythroptera","Cracidae (Guans, Chachalacas, and Curassows)","Rufous-headed Chachalaca",0.799557377,NA,NA,NA,NA
"172","Ortalis wagleri","Ortalis wagleri","Ortalis wagleri","Cracidae (Guans, Chachalacas, and Curassows)","Rufous-bellied Chachalaca",0.964302572,NA,NA,NA,NA
"173","Ortalis poliocephala","Ortalis poliocephala","Ortalis poliocephala","Cracidae (Guans, Chachalacas, and Curassows)","West Mexican Chachalaca",0.7387314055,NA,NA,NA,NA
"174","Ortalis canicollis","Ortalis canicollis","Ortalis canicollis","Cracidae (Guans, Chachalacas, and Curassows)","Chaco Chachalaca",1.130572177,NA,NA,NA,NA
"175","Ortalis leucogastra","Ortalis leucogastra","Ortalis leucogastra","Cracidae (Guans, Chachalacas, and Curassows)","White-bellied Chachalaca",0.102549278,NA,NA,NA,NA
"176","Ortalis guttata","Ortalis columbiana","Ortalis columbiana","Cracidae (Guans, Chachalacas, and Curassows)","Colombian Chachalaca",1.083089331,NA,NA,NA,NA
"177","Ortalis guttata","Ortalis guttata","Ortalis guttata","Cracidae (Guans, Chachalacas, and Curassows)","Speckled Chachalaca",0.58272867875,NA,NA,NA,NA
"178","Ortalis guttata","Ortalis squamata","Ortalis squamata","Cracidae (Guans, Chachalacas, and Curassows)","Scaled Chachalaca",2.448290021,NA,NA,NA,NA
"179","Ortalis motmot","Ortalis motmot","Ortalis motmot","Cracidae (Guans, Chachalacas, and Curassows)","Variable Chachalaca",2.861134908,NA,NA,NA,NA
"180","Penelope argyrotis","Penelope argyrotis","Penelope argyrotis","Cracidae (Guans, Chachalacas, and Curassows)","Band-tailed Guan",0.56147701,NA,NA,NA,NA
"181","Penelope montagnii","Penelope montagnii","Penelope montagnii","Cracidae (Guans, Chachalacas, and Curassows)","Andean Guan",0.440275637,NA,NA,NA,NA
"182","Penelope jacquacu","Penelope jacquacu","Penelope jacquacu","Cracidae (Guans, Chachalacas, and Curassows)","Spix's Guan",0.054356822,NA,NA,NA,NA
"183","Penelope purpurascens","Penelope purpurascens","Penelope purpurascens","Cracidae (Guans, Chachalacas, and Curassows)","Crested Guan",0.206145660333333,NA,NA,NA,NA
"184","Penelope albipennis","Penelope albipennis","Penelope albipennis","Cracidae (Guans, Chachalacas, and Curassows)","White-winged Guan",0.003910182,NA,NA,NA,NA
"185","Penelope obscura","Penelope obscura","Penelope obscura","Cracidae (Guans, Chachalacas, and Curassows)","Dusky-legged Guan",1.9045367925,NA,NA,NA,NA
"186","Pipile cumanensis","Pipile cumanensis","Pipile cumanensis","Cracidae (Guans, Chachalacas, and Curassows)","Blue-throated Piping-Guan",0.00722356,NA,NA,NA,NA
"187","Chamaepetes goudotii","Chamaepetes goudotii","Chamaepetes goudotii","Cracidae (Guans, Chachalacas, and Curassows)","Sickle-winged Guan",0.135433127,NA,NA,NA,NA
"188","Penelopina nigra","Penelopina nigra","Penelopina nigra","Cracidae (Guans, Chachalacas, and Curassows)","Highland Guan",0.035366897,NA,NA,NA,NA
"189","Crax rubra","Crax rubra","Crax rubra","Cracidae (Guans, Chachalacas, and Curassows)","Great Curassow",0,NA,NA,NA,NA
"190","Numida meleagris","Numida meleagris","Numida meleagris","Numididae (Guineafowl)","Helmeted Guineafowl",1.13299828666667,NA,NA,NA,NA
"191","Oreortyx pictus","Oreortyx pictus","Oreortyx pictus","Odontophoridae (New World Quail)","Mountain Quail",0.176772754,"Oreortyx pictus",-1.925614777,NA,NA
"192","Dendrortyx leucophrys","Dendrortyx leucophrys","Dendrortyx leucophrys","Odontophoridae (New World Quail)","Buffy-crowned Wood-Partridge",0.834384515,NA,NA,NA,NA
"193","Dendrortyx macroura","Dendrortyx macroura","Dendrortyx macroura","Odontophoridae (New World Quail)","Long-tailed Wood-Partridge",0.545799824,NA,NA,NA,NA
"194","Philortyx fasciatus","Philortyx fasciatus","Philortyx fasciatus","Odontophoridae (New World Quail)","Banded Quail",0.937208241,NA,NA,NA,NA
"195","Colinus virginianus","Colinus virginianus","Colinus virginianus","Odontophoridae (New World Quail)","Northern Bobwhite",0.7900796132,"Colinus virginianus",-1.471801823,NA,NA
"196","Colinus nigrogularis","Colinus nigrogularis","Colinus nigrogularis","Odontophoridae (New World Quail)","Black-throated Bobwhite",0.846333265,NA,NA,NA,NA
"197","Colinus cristatus","Colinus cristatus","Colinus cristatus","Odontophoridae (New World Quail)","Crested Bobwhite",0.813801366,NA,NA,NA,NA
"198","Callipepla squamata","Callipepla squamata","Callipepla squamata","Odontophoridae (New World Quail)","Scaled Quail",0.4201021745,"Callipepla squamata",-0.660720633,"Callipepla squamata","N"
"199","Callipepla douglasii","Callipepla douglasii","Callipepla douglasii","Odontophoridae (New World Quail)","Elegant Quail",1.845651227,NA,NA,NA,NA
"200","Callipepla californica","Callipepla californica","Callipepla californica","Odontophoridae (New World Quail)","California Quail",1.1952884625,"Callipepla californica",0.752990467,"Callipepla californica","U"
"201","Callipepla gambelii","Callipepla gambelii","Callipepla gambelii","Odontophoridae (New World Quail)","Gambel's Quail",1.7117724905,"Callipepla gambelii",1.791047386,"Callipepla gambelii","N"
"202","Cyrtonyx ocellatus","Cyrtonyx ocellatus","Cyrtonyx ocellatus","Odontophoridae (New World Quail)","Ocellated Quail",0.20571225,NA,NA,NA,NA
"203","Dactylortyx thoracicus","Dactylortyx thoracicus","Dactylortyx thoracicus","Odontophoridae (New World Quail)","Singing Quail",0.457444212,NA,NA,NA,NA
"204","Odontophorus capueira","Odontophorus capueira","Odontophorus capueira","Odontophoridae (New World Quail)","Spot-winged Wood-Quail",0.766860799,NA,NA,NA,NA
"205","Odontophorus balliviani","Odontophorus balliviani","Odontophorus balliviani","Odontophoridae (New World Quail)","Stripe-faced Wood-Quail",0.034477558,NA,NA,NA,NA
"206","Odontophorus guttatus","Odontophorus guttatus","Odontophorus guttatus","Odontophoridae (New World Quail)","Spotted Wood-Quail",0.043591767,NA,NA,NA,NA
"207","Arborophila crudigularis","Arborophila crudigularis","Arborophila crudigularis","Phasianidae (Pheasants, Grouse, and Allies)","Taiwan Partridge",0.55225351,NA,NA,NA,NA
"208","Arborophila hyperythra","Arborophila hyperythra","Arborophila hyperythra","Phasianidae (Pheasants, Grouse, and Allies)","Red-breasted Partridge",0.304595223,NA,NA,NA,NA
"209","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Phasianidae (Pheasants, Grouse, and Allies)","Wild Turkey",1.107617574,"Meleagris gallopavo",0.363763934,NA,NA
"210","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus","Phasianidae (Pheasants, Grouse, and Allies)","Ruffed Grouse",0.537657408125,"Bonasa umbellus",-1.39395727,NA,NA
"211","Bonasa bonasia","Tetrastes bonasia","Bonasa bonasia","Phasianidae (Pheasants, Grouse, and Allies)","Hazel Grouse",1.023432377,NA,NA,NA,NA
"212","Centrocercus urophasianus","Centrocercus urophasianus","Centrocercus urophasianus","Phasianidae (Pheasants, Grouse, and Allies)","Greater Sage-Grouse",0.029135023,"Centrocercus urophasianus",-1.826247249,NA,NA
"213","Dendragapus obscurus","Dendragapus obscurus","Dendragapus obscurus","Phasianidae (Pheasants, Grouse, and Allies)","Dusky Grouse",0.31732397,NA,NA,NA,NA
"214","Dendragapus fuliginosus","Dendragapus fuliginosus","Dendragapus fuliginosus","Phasianidae (Pheasants, Grouse, and Allies)","Sooty Grouse",0.103413593,"Dendragapus fuliginosus",-2.00137474,NA,NA
"215","Tympanuchus phasianellus","Tympanuchus phasianellus","Tympanuchus phasianellus","Phasianidae (Pheasants, Grouse, and Allies)","Sharp-tailed Grouse",0.446532609,"Tympanuchus phasianellus",-1.329806095,NA,NA
"216","Tympanuchus cupido","Tympanuchus cupido","Tympanuchus cupido","Phasianidae (Pheasants, Grouse, and Allies)","Greater Prairie-Chicken",NA,"Tympanuchus cupido",-1.988027673,NA,NA
"217","Lagopus leucura","Lagopus leucura","Lagopus leucura","Phasianidae (Pheasants, Grouse, and Allies)","White-tailed Ptarmigan",0.013347779,NA,NA,NA,NA
"218","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Phasianidae (Pheasants, Grouse, and Allies)","Willow Ptarmigan",0.688678877,NA,NA,NA,NA
"219","Lagopus muta","Lagopus muta","Lagopus muta","Phasianidae (Pheasants, Grouse, and Allies)","Rock Ptarmigan",0.761113501,NA,NA,NA,NA
"220","Dendragapus canadensis","Canachites canadensis","Falcipennis canadensis","Phasianidae (Pheasants, Grouse, and Allies)","Spruce Grouse",0.723661126,NA,NA,NA,NA
"221","Tetrao tetrix","Lyrurus tetrix","Lyrurus tetrix","Phasianidae (Pheasants, Grouse, and Allies)","Black Grouse",0.467320375,NA,NA,NA,NA
"222","Perdix perdix","Perdix perdix","Perdix perdix","Phasianidae (Pheasants, Grouse, and Allies)","Gray Partridge",1.106371093,"Perdix perdix",-0.901563751,NA,NA
"223","Syrmaticus mikado","Syrmaticus mikado","Syrmaticus mikado","Phasianidae (Pheasants, Grouse, and Allies)","Mikado Pheasant",0.00272198,NA,NA,NA,NA
"224","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianidae (Pheasants, Grouse, and Allies)","Ring-necked Pheasant",1.13005927546875,"Phasianus colchicus",-0.97445087,NA,NA
"225","Lophura swinhoii","Lophura swinhoii","Lophura swinhoii","Phasianidae (Pheasants, Grouse, and Allies)","Swinhoe's Pheasant",0.187756954,NA,NA,NA,NA
"226","Pavo cristatus","Pavo cristatus","Pavo cristatus","Phasianidae (Pheasants, Grouse, and Allies)","Indian Peafowl",1.449501132,NA,NA,NA,NA
"227","Haematortyx sanguiniceps","Haematortyx sanguiniceps","Haematortyx sanguiniceps","Phasianidae (Pheasants, Grouse, and Allies)","Crimson-headed Partridge",0.303055326,NA,NA,NA,NA
"228","Galloperdix spadicea","Galloperdix spadicea","Galloperdix spadicea","Phasianidae (Pheasants, Grouse, and Allies)","Red Spurfowl",0.93334224,NA,NA,NA,NA
"229","Galloperdix lunulata","Galloperdix lunulata","Galloperdix lunulata","Phasianidae (Pheasants, Grouse, and Allies)","Painted Spurfowl",0.55838246,NA,NA,NA,NA
"230","Bambusicola thoracicus","Bambusicola thoracicus","Bambusicola thoracicus","Phasianidae (Pheasants, Grouse, and Allies)","Chinese Bamboo-Partridge",2.11636443,NA,NA,NA,NA
"231","Bambusicola thoracicus","Bambusicola sonorivox","Bambusicola sonorivox","Phasianidae (Pheasants, Grouse, and Allies)","Taiwan Bamboo-Partridge",1.307081162,NA,NA,NA,NA
"232","Gallus gallus","Gallus gallus","Gallus gallus","Phasianidae (Pheasants, Grouse, and Allies)","Red Junglefowl",1.73270847433333,NA,NA,NA,NA
"233","Gallus sonneratii","Gallus sonneratii","Gallus sonneratii","Phasianidae (Pheasants, Grouse, and Allies)","Gray Junglefowl",0.59476472,NA,NA,NA,NA
"234","Francolinus sephaena","Ortygornis sephaena","Dendroperdix sephaena","Phasianidae (Pheasants, Grouse, and Allies)","Crested Francolin",0.720942008,NA,NA,NA,NA
"235","Francolinus pondicerianus","Ortygornis pondicerianus","Francolinus pondicerianus","Phasianidae (Pheasants, Grouse, and Allies)","Gray Francolin",1.590281148,NA,NA,NA,NA
"236","Francolinus gularis","Ortygornis gularis","Francolinus gularis","Phasianidae (Pheasants, Grouse, and Allies)","Swamp Francolin",0.203492704,NA,NA,NA,NA
"237","Francolinus pintadeanus","Francolinus pintadeanus","Francolinus pintadeanus","Phasianidae (Pheasants, Grouse, and Allies)","Chinese Francolin",1.86210776,NA,NA,NA,NA
"238","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","Phasianidae (Pheasants, Grouse, and Allies)","Black Francolin",0.992692790666667,NA,NA,NA,NA
"239","Francolinus pictus","Francolinus pictus","Francolinus pictus","Phasianidae (Pheasants, Grouse, and Allies)","Painted Francolin",0.8902622725,NA,NA,NA,NA
"240","Coturnix ypsilophora","Synoicus ypsilophorus","Synoicus ypsilophorus","Phasianidae (Pheasants, Grouse, and Allies)","Brown Quail",0.880274662333333,NA,NA,NA,NA
"241","Coturnix chinensis","Synoicus chinensis","Synoicus chinensis","Phasianidae (Pheasants, Grouse, and Allies)","Blue-breasted Quail",0.234083193,NA,NA,NA,NA
"242","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Phasianidae (Pheasants, Grouse, and Allies)","Common Quail",0.4287044614,NA,NA,NA,NA
"243","Coturnix pectoralis","Coturnix pectoralis","Coturnix pectoralis","Phasianidae (Pheasants, Grouse, and Allies)","Stubble Quail",0.306903916,NA,NA,NA,NA
"244","Alectoris melanocephala","Alectoris melanocephala","Alectoris melanocephala","Phasianidae (Pheasants, Grouse, and Allies)","Arabian Partridge",0.953603675,NA,NA,NA,NA
"245","Alectoris rufa","Alectoris rufa","Alectoris rufa","Phasianidae (Pheasants, Grouse, and Allies)","Red-legged Partridge",1.19166699971429,NA,NA,NA,NA
"246","Alectoris chukar","Alectoris chukar","Alectoris chukar","Phasianidae (Pheasants, Grouse, and Allies)","Chukar",1.3171746825,"Alectoris chukar",-1.584595749,NA,NA
"247","Perdicula asiatica","Perdicula asiatica","Perdicula asiatica","Phasianidae (Pheasants, Grouse, and Allies)","Jungle Bush-Quail",1.0358600405,NA,NA,NA,NA
"248","Francolinus erckelii","Pternistis erckelii","Pternistis erckelii","Phasianidae (Pheasants, Grouse, and Allies)","Erckel's Spurfowl",0.289946055,NA,NA,NA,NA
"249","Francolinus capensis","Pternistis capensis","Pternistis capensis","Phasianidae (Pheasants, Grouse, and Allies)","Cape Spurfowl",1.327246675,NA,NA,NA,NA
"250","Francolinus natalensis","Pternistis natalensis","Pternistis natalensis","Phasianidae (Pheasants, Grouse, and Allies)","Natal Spurfowl",1.157502791,NA,NA,NA,NA
"251","Francolinus swainsonii","Pternistis swainsonii","Pternistis swainsonii","Phasianidae (Pheasants, Grouse, and Allies)","Swainson's Spurfowl",0.876610092,NA,NA,NA,NA
"252","Francolinus leucoscepus","Pternistis leucoscepus","Pternistis leucoscepus","Phasianidae (Pheasants, Grouse, and Allies)","Yellow-necked Spurfowl",0.710782735,NA,NA,NA,NA
"253","Phoenicopterus chilensis","Phoenicopterus chilensis","Phoenicopterus chilensis","Phoenicopteridae (Flamingos)","Chilean Flamingo",0.8689101632,NA,NA,NA,NA
"254","Phoenicopterus ruber","Phoenicopterus ruber","Phoenicopterus ruber","Phoenicopteridae (Flamingos)","American Flamingo",0.846076146,NA,NA,NA,NA
"255","Phoenicopterus roseus","Phoenicopterus roseus","Phoenicopterus roseus","Phoenicopteridae (Flamingos)","Greater Flamingo",1.80748533375,NA,NA,NA,NA
"256","Phoeniconaias minor","Phoeniconaias minor","Phoeniconaias minor","Phoenicopteridae (Flamingos)","Lesser Flamingo",1.7371837075,NA,NA,NA,NA
"257","Rollandia rolland","Rollandia rolland","Rollandia rolland","Podicipedidae (Grebes)","White-tufted Grebe",1.623604843375,NA,NA,NA,NA
"258","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis","Podicipedidae (Grebes)","Little Grebe",1.65243341827273,NA,NA,NA,NA
"259","Tachybaptus novaehollandiae","Tachybaptus novaehollandiae","Tachybaptus novaehollandiae","Podicipedidae (Grebes)","Australasian Grebe",1.523792333,NA,NA,NA,NA
"260","Tachybaptus dominicus","Tachybaptus dominicus","Tachybaptus dominicus","Podicipedidae (Grebes)","Least Grebe",1.58066521926667,NA,NA,NA,NA
"261","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps","Podicipedidae (Grebes)","Pied-billed Grebe",1.83209135741304,"Podilymbus podiceps",0.738332116,NA,NA
"262","Poliocephalus poliocephalus","Poliocephalus poliocephalus","Poliocephalus poliocephalus","Podicipedidae (Grebes)","Hoary-headed Grebe",1.2323557955,NA,NA,NA,NA
"263","Poliocephalus rufopectus","Poliocephalus rufopectus","Poliocephalus rufopectus","Podicipedidae (Grebes)","New Zealand Grebe",1.183117616,NA,NA,NA,NA
"264","Podiceps major","Podiceps major","Podiceps major","Podicipedidae (Grebes)","Great Grebe",1.53625333555556,NA,NA,NA,NA
"265","Podiceps auritus","Podiceps auritus","Podiceps auritus","Podicipedidae (Grebes)","Horned Grebe",1.697719121,"Podiceps auritus",-1.163069602,NA,NA
"266","Podiceps grisegena","Podiceps grisegena","Podiceps grisegena","Podicipedidae (Grebes)","Red-necked Grebe",1.78942729169231,"Podiceps grisegena",-0.527183994,NA,NA
"267","Podiceps cristatus","Podiceps cristatus","Podiceps cristatus","Podicipedidae (Grebes)","Great Crested Grebe",1.33907833532353,NA,NA,NA,NA
"268","Podiceps nigricollis","Podiceps nigricollis","Podiceps nigricollis","Podicipedidae (Grebes)","Eared Grebe",1.5010550475,"Podiceps nigricollis",-1.03873009,NA,NA
"269","Podiceps occipitalis","Podiceps occipitalis","Podiceps occipitalis","Podicipedidae (Grebes)","Silvery Grebe",1.17296032775,NA,NA,NA,NA
"270","Aechmophorus occidentalis","Aechmophorus occidentalis","Aechmophorus occidentalis","Podicipedidae (Grebes)","Western Grebe",1.24655216376923,"Aechmophorus occidentalis",0.307320912,NA,NA
"271","Aechmophorus clarkii","Aechmophorus clarkii","Aechmophorus clarkii","Podicipedidae (Grebes)","Clark's Grebe",1.28353088471429,"Aechmophorus clarkii",0.501055163,NA,NA
"272","Columba livia","Columba livia","Columba livia","Columbidae (Pigeons and Doves)","Rock Pigeon",2.86374259609774,"Columba livia",2.888928507,NA,NA
"273","Columba guinea","Columba guinea","Columba guinea","Columbidae (Pigeons and Doves)","Speckled Pigeon",1.91336675971429,NA,NA,NA,NA
"274","Columba albitorques","Columba albitorques","Columba albitorques","Columbidae (Pigeons and Doves)","White-collared Pigeon",1.753307041,NA,NA,NA,NA
"275","Columba oenas","Columba oenas","Columba oenas","Columbidae (Pigeons and Doves)","Stock Dove",1.284581559625,NA,NA,NA,NA
"276","Columba palumbus","Columba palumbus","Columba palumbus","Columbidae (Pigeons and Doves)","Common Wood-Pigeon",1.82484518473913,NA,NA,NA,NA
"277","Columba arquatrix","Columba arquatrix","Columba arquatrix","Columbidae (Pigeons and Doves)","Rameron Pigeon",1.98051592,NA,NA,NA,NA
"278","Columba pulchricollis","Columba pulchricollis","Columba pulchricollis","Columbidae (Pigeons and Doves)","Ashy Wood-Pigeon",0.314961281,NA,NA,NA,NA
"279","Columba elphinstonii","Columba elphinstonii","Columba elphinstonii","Columbidae (Pigeons and Doves)","Nilgiri Wood-Pigeon",0.695356737,NA,NA,NA,NA
"280","Columba palumboides","Columba palumboides","Columba palumboides","Columbidae (Pigeons and Doves)","Andaman Wood-Pigeon",0.190293883,NA,NA,NA,NA
"281","Columba leucomela","Columba leucomela","Columba leucomela","Columbidae (Pigeons and Doves)","White-headed Pigeon",0.922836978,NA,NA,NA,NA
"282","Patagioenas cayennensis","Patagioenas cayennensis","Patagioenas cayennensis","Columbidae (Pigeons and Doves)","Pale-vented Pigeon",1.6616856095,NA,NA,NA,NA
"283","Patagioenas speciosa","Patagioenas speciosa","Patagioenas speciosa","Columbidae (Pigeons and Doves)","Scaled Pigeon",0.345887995,NA,NA,NA,NA
"284","Patagioenas squamosa","Patagioenas squamosa","Patagioenas squamosa","Columbidae (Pigeons and Doves)","Scaly-naped Pigeon",0.847325812,NA,NA,NA,NA
"285","Patagioenas picazuro","Patagioenas picazuro","Patagioenas picazuro","Columbidae (Pigeons and Doves)","Picazuro Pigeon",2.11624862061538,NA,NA,NA,NA
"286","Patagioenas maculosa","Patagioenas maculosa","Patagioenas maculosa","Columbidae (Pigeons and Doves)","Spot-winged Pigeon",2.2413174564,NA,NA,NA,NA
