"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"113","Neophron percnopterus","Accipitridae","Accipitriformes","Egyptian Vulture",1.16110933875,"Neophron percnopterus","Accipitriformes","Neophron percnopterus"
"114","Nisaetus alboniger","Accipitridae","Accipitriformes","Blyth's Hawk-Eagle",0.071112097,"Nisaetus alboniger","Accipitriformes","Nisaetus alboniger"
"115","Nisaetus cirrhatus","Accipitridae","Accipitriformes","Changeable Hawk-Eagle",1.08497414375,"Nisaetus cirrhatus","Accipitriformes","Nisaetus cirrhatus"
"116","Nisaetus nipalensis","Accipitridae","Accipitriformes","Mountain Hawk-Eagle",0.280280231,"Nisaetus nipalensis","Accipitriformes","Nisaetus nipalensis"
"117","Pandion haliaetus","Accipitridae","Accipitriformes","Osprey",1.6544130335,"Pandion haliaetus","Accipitriformes","Pandion haliaetus"
"118","Parabuteo unicinctus","Accipitridae","Accipitriformes","Harris's Hawk",2.24155395242857,"Parabuteo unicinctus","Accipitriformes","Parabuteo unicinctus"
"119","Pernis apivorus","Accipitridae","Accipitriformes","European Honey-buzzard",1.30273849285714,"Pernis apivorus","Accipitriformes","Pernis apivorus"
"120","Pernis ptilorhyncus","Accipitridae","Accipitriformes","Oriental Honey-buzzard",1.76029718044444,"Pernis ptilorhynchus","Accipitriformes","Pernis ptilorhynchus"
"121","Polyboroides typus","Accipitridae","Accipitriformes","African Harrier-Hawk",1.448751249,"Polyboroides typus","Accipitriformes","Polyboroides typus"
"122","Rostrhamus sociabilis","Accipitridae","Accipitriformes","Snail Kite",1.91120805185714,"Rostrhamus sociabilis","Accipitriformes","Rostrhamus sociabilis"
"123","Spilornis cheela","Accipitridae","Accipitriformes","Crested Serpent-Eagle",1.1344662127,"Spilornis cheela","Accipitriformes","Spilornis cheela"
"124","Spilornis elgini","Accipitridae","Accipitriformes","Andaman Serpent-Eagle",0.152434534,"Spilornis elgini","Accipitriformes","Spilornis elgini"
"125","Spilornis holospilus","Accipitridae","Accipitriformes","Philippine Serpent-Eagle",0.64281722,"Spilornis holospilus","Accipitriformes","Spilornis holospilus"
"126","Spizaetus isidori","Accipitridae","Accipitriformes","Black-and-chestnut Eagle",0.036454556,"Spizaetus isidori","Accipitriformes","Spizaetus isidori"
"127","Spizaetus ornatus","Accipitridae","Accipitriformes","Ornate Hawk-Eagle",0.725530997,"Spizaetus ornatus","Accipitriformes","Spizaetus ornatus"
"128","Spizaetus tyrannus","Accipitridae","Accipitriformes","Black Hawk-Eagle",0.776402857,"Spizaetus tyrannus","Accipitriformes","Spizaetus tyrannus"
"129","Stephanoaetus coronatus","Accipitridae","Accipitriformes","Crowned Eagle",1.372427906,"Stephanoaetus coronatus","Accipitriformes","Stephanoaetus coronatus"
"130","Cathartes aura","Cathartidae","Accipitriformes","Turkey Vulture",1.40565815895,"Cathartes aura","Cathartiformes","Cathartes aura"
"131","Cathartes burrovianus","Cathartidae","Accipitriformes","Lesser Yellow-headed Vulture",1.85522517255556,"Cathartes burrovianus","Cathartiformes","Cathartes burrovianus"
"132","Cathartes melambrotus","Cathartidae","Accipitriformes","Greater Yellow-headed Vulture",0.667125256666667,"Cathartes melambrotus","Cathartiformes","Cathartes melambrotus"
"133","Coragyps atratus","Cathartidae","Accipitriformes","Black Vulture",1.73744516409302,"Coragyps atratus","Cathartiformes","Coragyps atratus"
"134","Sarcoramphus papa","Cathartidae","Accipitriformes","King Vulture",0.2157172885,"Sarcoramphus papa","Cathartiformes","Sarcoramphus papa"
