,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
51,Pipile cumanensis,Pipile cumanensis,Pipile cumanensis,"Cracidae (Guans, Chachalacas, and Curassows)",Blue-throated Piping-Guan,0.00722356,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
52,Chamaepetes goudotii,Chamaepetes goudotii,Chamaepetes goudotii,"Cracidae (Guans, Chachalacas, and Curassows)",Sickle-winged Guan,0.135433127,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
53,Penelopina nigra,Penelopina nigra,Penelopina nigra,"Cracidae (Guans, Chachalacas, and Curassows)",Highland Guan,0.035366897,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
54,Crax rubra,Crax rubra,Crax rubra,"Cracidae (Guans, Chachalacas, and Curassows)",Great Curassow,0,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
55,Numida meleagris,Numida meleagris,Numida meleagris,Numididae (Guineafowl),Helmeted Guineafowl,1.132998287,NA,NA,NA,NA,Numididae,135,(Guineafowl),No,
56,Oreortyx pictus,Oreortyx pictus,Oreortyx pictus,Odontophoridae (New World Quail),Mountain Quail,0.176772754,Oreortyx pictus,-1.925614777,NA,NA,Odontophoridae,58,(New World Quail),No,
57,Dendrortyx leucophrys,Dendrortyx leucophrys,Dendrortyx leucophrys,Odontophoridae (New World Quail),Buffy-crowned Wood-Partridge,0.834384515,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
58,Dendrortyx macroura,Dendrortyx macroura,Dendrortyx macroura,Odontophoridae (New World Quail),Long-tailed Wood-Partridge,0.545799824,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
59,Philortyx fasciatus,Philortyx fasciatus,Philortyx fasciatus,Odontophoridae (New World Quail),Banded Quail,0.937208241,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
60,Colinus virginianus,Colinus virginianus,Colinus virginianus,Odontophoridae (New World Quail),Northern Bobwhite,0.790079613,Colinus virginianus,-1.471801823,NA,NA,Odontophoridae,58,(New World Quail),No,
61,Colinus nigrogularis,Colinus nigrogularis,Colinus nigrogularis,Odontophoridae (New World Quail),Black-throated Bobwhite,0.846333265,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
62,Colinus cristatus,Colinus cristatus,Colinus cristatus,Odontophoridae (New World Quail),Crested Bobwhite,0.813801366,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
63,Callipepla squamata,Callipepla squamata,Callipepla squamata,Odontophoridae (New World Quail),Scaled Quail,0.420102175,Callipepla squamata,-0.660720633,Callipepla squamata,N,Odontophoridae,58,(New World Quail),No,
64,Callipepla douglasii,Callipepla douglasii,Callipepla douglasii,Odontophoridae (New World Quail),Elegant Quail,1.845651227,NA,NA,NA,NA,Odontophoridae,58,(New World Quail),No,
65,Callipepla californica,Callipepla californica,Callipepla californica,Odontophoridae (New World Quail),California Quail,1.195288463,Callipepla californica,0.752990467,Callipepla californica,U,Odontophoridae,58,(New World Quail),No,
66,Callipepla gambelii,Callipepla gambelii,Callipepla gambelii,Odontophoridae (New World Quail),Gambel's Quail,1.711772491,Callipepla gambelii,1.791047386,Callipepla gambelii,N,Odontophoridae,58,(New World Quail),No,
