"","X","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","Order_Jetz","CommonName_UAI","aveUAI.x","Order_eBird","Species_BirdLife","family","family.MUTI","Species_UN","Urban","Family_UN_only","Family_all","Family","BLFamilyEnglish.x","Coastal","Notes","Species","IOCOrder","BLFamilyLatin","BLFamilyEnglish.y","Scientific","English","CoastalSp","aveUAI.y"
"34",699,NA,NA,NA,"Accipiter melanoleucus","Accipiter melanoleucus","Accipitridae","Accipitriformes","Black Goshawk",2.064683248,"Accipitriformes","Accipiter melanoleucus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_melanoleucus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter melanoleucus","Black Goshawk","No",2.064683248
"35",700,NA,NA,NA,"Accipiter nisus","Accipiter nisus","Accipitridae","Accipitriformes","Eurasian Sparrowhawk",1.854832984,"Accipitriformes","Accipiter nisus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_nisus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter nisus","Eurasian Sparrowhawk","No",1.854832984
"36",701,NA,NA,NA,"Accipiter ovampensis","Accipiter ovampensis","Accipitridae","Accipitriformes","Ovambo Sparrowhawk",2.474986509,"Accipitriformes","Accipiter ovampensis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_ovampensis",NA,NA,NA,NA,NA,NA,NA
"37",702,NA,NA,NA,"Accipiter rufiventris","Accipiter rufiventris","Accipitridae","Accipitriformes","Rufous-breasted Sparrowhawk",1.908618481,"Accipitriformes","Accipiter rufiventris",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_rufiventris",NA,NA,NA,NA,NA,NA,NA
"38",703,NA,NA,NA,"Accipiter soloensis","Accipiter soloensis","Accipitridae","Accipitriformes","Chinese Sparrowhawk",2.137403461,"Accipitriformes","Accipiter soloensis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_soloensis",NA,NA,NA,NA,NA,NA,NA
"39",704,NA,NA,NA,"Accipiter tachiro","Accipiter tachiro","Accipitridae","Accipitriformes","African Goshawk",1.670355626,"Accipitriformes","Accipiter tachiro",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_tachiro","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter tachiro","African Goshawk","Yes",1.670355626
"40",705,NA,NA,NA,"Accipiter trivirgatus","Accipiter trivirgatus","Accipitridae","Accipitriformes","Crested Goshawk",2.85972743,"Accipitriformes","Accipiter trivirgatus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_trivirgatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter trivirgatus","Crested Goshawk","No",2.85972743
"41",706,NA,NA,NA,"Accipiter virgatus","Accipiter virgatus","Accipitridae","Accipitriformes","Besra",2.076683786,"Accipitriformes","Accipiter virgatus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_virgatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter virgatus","Besra","Yes",2.076683786
"42",707,NA,NA,NA,"Aegypius monachus","Aegypius monachus","Accipitridae","Accipitriformes","Cinereous Vulture",1.417262379,"Accipitriformes","Aegypius monachus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aegypius_monachus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aegypius monachus","Cinereous Vulture","No",1.417262379
"43",708,NA,NA,NA,"Aquila adalberti","Aquila adalberti","Accipitridae","Accipitriformes","Spanish Eagle",1.135287727,"Accipitriformes","Aquila adalberti",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_adalberti",NA,NA,NA,NA,NA,NA,NA
