,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes
55,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,"Accipitridae (Hawks, Eagles, and Kites)",Crested Goshawk,2.85972743,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
56,Accipiter tachiro,Accipiter tachiro,Accipiter tachiro,"Accipitridae (Hawks, Eagles, and Kites)",African Goshawk,1.670355626,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves
57,Accipiter badius,Accipiter badius,Accipiter badius,"Accipitridae (Hawks, Eagles, and Kites)",Shikra,2.070468576,NA,NA,Accipiter badius,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
58,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,"Accipitridae (Hawks, Eagles, and Kites)",Levant Sparrowhawk,2.961498189,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
59,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,"Accipitridae (Hawks, Eagles, and Kites)",Chinese Sparrowhawk,2.137403461,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
60,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,"Accipitridae (Hawks, Eagles, and Kites)",Gray Goshawk,1.31573487,NA,NA,Accipiter novaehollandiae,N,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
61,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,"Accipitridae (Hawks, Eagles, and Kites)",Brown Goshawk,1.47249812,NA,NA,Accipiter fasciatus,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
62,Accipiter gularis,Accipiter gularis,Accipiter gularis,"Accipitridae (Hawks, Eagles, and Kites)",Japanese Sparrowhawk,2.472802841,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
63,Accipiter virgatus,Accipiter virgatus,Accipiter virgatus,"Accipitridae (Hawks, Eagles, and Kites)",Besra,2.076683786,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,mangroves
64,Accipiter cirrocephalus,Accipiter cirrocephalus,Accipiter cirrocephalus,"Accipitridae (Hawks, Eagles, and Kites)",Collared Sparrowhawk,1.43878721,NA,NA,Accipiter cirrocephalus,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
65,Accipiter ovampensis,Accipiter ovampensis,Accipiter ovampensis,"Accipitridae (Hawks, Eagles, and Kites)",Ovambo Sparrowhawk,2.474986509,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
66,Accipiter nisus,Accipiter nisus,Accipiter nisus,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Sparrowhawk,1.854832984,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
67,Accipiter rufiventris,Accipiter rufiventris,Accipiter rufiventris,"Accipitridae (Hawks, Eagles, and Kites)",Rufous-breasted Sparrowhawk,1.908618481,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
68,Accipiter striatus,Accipiter striatus,Accipiter striatus,"Accipitridae (Hawks, Eagles, and Kites)",Sharp-shinned Hawk,1.822389331,NA,NA,Accipiter striatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
69,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,"Accipitridae (Hawks, Eagles, and Kites)",Cooper's Hawk,2.222871741,Accipiter cooperii,2.61478251,Accipiter cooperii,U,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
70,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,"Accipitridae (Hawks, Eagles, and Kites)",Bicolored Hawk,0.643384159,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
