,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
89,Anas crecca,Anas crecca,Anas crecca,"Anatidae (Ducks, Geese, and Waterfowl)",Green-winged Teal,1.56755625,Anas crecca,-1.499926389,Anas crecca,N,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
90,Anas andium,Anas andium,Anas andium,"Anatidae (Ducks, Geese, and Waterfowl)",Andean Teal,0.235593219,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
91,Anas flavirostris,Anas flavirostris,Anas flavirostris,"Anatidae (Ducks, Geese, and Waterfowl)",Yellow-billed Teal,1.400534553,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
92,Anas gibberifrons,Anas albogularis,Anas albogularis,"Anatidae (Ducks, Geese, and Waterfowl)",Andaman Teal,0.567790875,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
93,Anas gibberifrons,Anas gibberifrons,Anas gibberifrons,"Anatidae (Ducks, Geese, and Waterfowl)",Sunda Teal,2.869584218,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
94,Anas gracilis,Anas gracilis,Anas gracilis,"Anatidae (Ducks, Geese, and Waterfowl)",Gray Teal,1.211073956,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
95,Anas castanea,Anas castanea,Anas castanea,"Anatidae (Ducks, Geese, and Waterfowl)",Chestnut Teal,1.681237035,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
96,Anas chlorotis,Anas chlorotis,Anas chlorotis,"Anatidae (Ducks, Geese, and Waterfowl)",Brown Teal,0.32907421,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
97,Malacorhynchus membranaceus,Malacorhynchus membranaceus,Malacorhynchus membranaceus,"Anatidae (Ducks, Geese, and Waterfowl)",Pink-eared Duck,1.289541634,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
98,Marmaronetta angustirostris,Marmaronetta angustirostris,Marmaronetta angustirostris,"Anatidae (Ducks, Geese, and Waterfowl)",Marbled Teal,0.922549488,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
99,Netta rufina,Netta rufina,Netta rufina,"Anatidae (Ducks, Geese, and Waterfowl)",Red-crested Pochard,1.270245509,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
100,Netta erythrophthalma,Netta erythrophthalma,Netta erythrophthalma,"Anatidae (Ducks, Geese, and Waterfowl)",Southern Pochard,1.903545918,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
101,Netta peposaca,Netta peposaca,Netta peposaca,"Anatidae (Ducks, Geese, and Waterfowl)",Rosy-billed Pochard,1.349928873,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
102,Aythya valisineria,Aythya valisineria,Aythya valisineria,"Anatidae (Ducks, Geese, and Waterfowl)",Canvasback,1.885578099,Aythya valisineria,-1.142240637,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
103,Aythya americana,Aythya americana,Aythya americana,"Anatidae (Ducks, Geese, and Waterfowl)",Redhead,1.811467143,Aythya americana,-1.21704851,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
104,Aythya ferina,Aythya ferina,Aythya ferina,"Anatidae (Ducks, Geese, and Waterfowl)",Common Pochard,1.624212925,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
105,Aythya collaris,Aythya collaris,Aythya collaris,"Anatidae (Ducks, Geese, and Waterfowl)",Ring-necked Duck,1.837686256,Aythya collaris,-1.447797292,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
106,Aythya nyroca,Aythya nyroca,Aythya nyroca,"Anatidae (Ducks, Geese, and Waterfowl)",Ferruginous Duck,1.116895897,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
107,Aythya australis,Aythya australis,Aythya australis,"Anatidae (Ducks, Geese, and Waterfowl)",Hardhead,1.62357518,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
108,Aythya fuligula,Aythya fuligula,Aythya fuligula,"Anatidae (Ducks, Geese, and Waterfowl)",Tufted Duck,1.943667869,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
109,Aythya novaeseelandiae,Aythya novaeseelandiae,Aythya novaeseelandiae,"Anatidae (Ducks, Geese, and Waterfowl)",New Zealand Scaup,1.51479562,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
110,Aythya marila,Aythya marila,Aythya marila,"Anatidae (Ducks, Geese, and Waterfowl)",Greater Scaup,1.939276154,NA,NA,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
111,Aythya affinis,Aythya affinis,Aythya affinis,"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Scaup,1.83437067,Aythya affinis,-1.186982417,NA,NA,Anatidae,43,"(Ducks, Geese, and Waterfowl)",Yes,
