"","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","CommonName_UAI","aveUAI","Species_BirdLife","Species_UN","Urban","family.MUTI","Family_all","Species","English","Coastal"
"112",NA,NA,NA,"Calidris minuta","Calidris minuta","Scolopacidae","Little Stint",1.467269335,"Calidris minuta","Calidris minuta","N",NA,"Scolopacidae","Calidris_minuta",NA,"Yes"
"113",NA,NA,NA,"Calidris minuta","Calidris minuta","Scolopacidae","Little Stint",1.467269335,"Calidris minuta","Calidris minuta","N",NA,"Scolopacidae","Calidris_minuta",NA,"Yes"
"114",NA,NA,NA,"Calidris minutilla","Calidris minutilla","Scolopacidae","Least Sandpiper",1.426019691,"Calidris minutilla","Calidris minutilla","N",NA,"Scolopacidae","Calidris_minutilla",NA,"Yes"
"115",NA,NA,NA,"Calidris minutilla","Calidris minutilla","Scolopacidae","Least Sandpiper",1.426019691,"Calidris minutilla","Calidris minutilla","N",NA,"Scolopacidae","Calidris_minutilla",NA,"Yes"
"116",NA,NA,NA,"Calidris pusilla","Calidris pusilla","Scolopacidae","Semipalmated Sandpiper",1.307148709,"Calidris pusilla","Calidris pusilla","N",NA,"Scolopacidae","Calidris_pusilla",NA,"Yes"
"117",NA,NA,NA,"Calidris pusilla","Calidris pusilla","Scolopacidae","Semipalmated Sandpiper",1.307148709,"Calidris pusilla","Calidris pusilla","N",NA,"Scolopacidae","Calidris_pusilla",NA,"Yes"
"118",NA,NA,NA,"Calidris ruficollis","Calidris ruficollis","Scolopacidae","Red-necked Stint",0.949640315,"Calidris ruficollis","Calidris ruficollis","N",NA,"Scolopacidae","Calidris_ruficollis",NA,"Yes"
"119",NA,NA,NA,"Calidris ruficollis","Calidris ruficollis","Scolopacidae","Red-necked Stint",0.949640315,"Calidris ruficollis","Calidris ruficollis","N",NA,"Scolopacidae","Calidris_ruficollis",NA,"Yes"
"120",NA,NA,NA,"Calidris temminckii","Calidris temminckii","Scolopacidae","Temminck's Stint",1.794470909,"Calidris temminckii","Calidris temminckii","U",NA,"Scolopacidae","Calidris_temminckii",NA,"Yes"
"121",NA,NA,NA,"Calidris temminckii","Calidris temminckii","Scolopacidae","Temminck's Stint",1.794470909,"Calidris temminckii","Calidris temminckii","U",NA,"Scolopacidae","Calidris_temminckii",NA,"Yes"
"122",NA,NA,NA,"Calidris tenuirostris","Calidris tenuirostris","Scolopacidae","Great Knot",1.414995441,"Calidris tenuirostris","Calidris tenuirostris","N",NA,"Scolopacidae","Calidris_tenuirostris",NA,"Yes"
"123",NA,NA,NA,"Calidris tenuirostris","Calidris tenuirostris","Scolopacidae","Great Knot",1.414995441,"Calidris tenuirostris","Calidris tenuirostris","N",NA,"Scolopacidae","Calidris_tenuirostris",NA,"Yes"
