IOCOrder,BLFamilyLatin,BLFamilyEnglish,Species,Scientific,English,CoastalSp,aveUAI
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Milvus_migrans,Milvus migrans,Black Kite,Yes,1.646870061
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_gentilis,Accipiter gentilis,Northern Goshawk,,1.653420419
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Pandion_haliaetus,Pandion haliaetus,Osprey,Yes,1.654413034
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_nipalensis,Aquila nipalensis,Steppe Eagle,,1.655326498
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_lineatus,Buteo lineatus,Red-shouldered Hawk,,1.670350483
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_tachiro,Accipiter tachiro,African Goshawk,Yes,1.670355626
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliastur_indus,Haliastur indus,Brahminy Kite,Yes,1.711980101
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Buteo_magnirostris,Buteo magnirostris,Roadside Hawk,,1.717914126
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_clanga,Aquila clanga,Greater Spotted Eagle,Yes,1.754912619
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Pernis_ptilorhyncus,Pernis ptilorhyncus,Oriental Honey-buzzard,,1.76029718
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_pomarina,Aquila pomarina,Lesser Spotted Eagle,,1.800533558
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_striatus,Accipiter striatus,Sharp-shinned Hawk,,1.822389331
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_nisus,Accipiter nisus,Eurasian Sparrowhawk,,1.854832984
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Rostrhamus_sociabilis,Rostrhamus sociabilis,Snail Kite,,1.911208052
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Elanus_leucurus,Elanus leucurus,White-tailed Kite,,1.991073589
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_melanoleucus,Accipiter melanoleucus,Black Goshawk,,2.064683248
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_badius,Accipiter badius,Shikra,,2.070468576
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_virgatus,Accipiter virgatus,Besra,Yes,2.076683786
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Ictinia_mississippiensis,Ictinia mississippiensis,Mississippi Kite,,2.189587003
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_cooperii,Accipiter cooperii,Cooper's Hawk,,2.222871741
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Parabuteo_unicinctus,Parabuteo unicinctus,Harris's Hawk,,2.241553952
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_gularis,Accipiter gularis,Japanese Sparrowhawk,,2.472802841
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aviceda_leuphotes,Aviceda leuphotes,Black Baza,Yes,2.55186238
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_trivirgatus,Accipiter trivirgatus,Crested Goshawk,,2.85972743
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Accipiter_brevipes,Accipiter brevipes,Levant Sparrowhawk,,2.961498189
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aviceda_jerdoni,Aviceda jerdoni,Jerdon's Baza,Yes,3.713046242
Passeriformes,Aegithalidae,Long-tailed Tits,Aegithalos_concinnus,Aegithalos concinnus,Black-throated Tit,,1.459705839
Passeriformes,Aegithalidae,Long-tailed Tits,Psaltriparus_minimus,Psaltriparus minimus,Bushtit,,1.87791287
Passeriformes,Aegithalidae,Long-tailed Tits,Aegithalos_caudatus,Aegithalos caudatus,Long-tailed Tit,,1.903268357
Passeriformes,Aegithinidae,Ioras,Aegithina_tiphia,Aegithina tiphia,Common Iora,,1.571608235
Apodiformes,Aegothelidae,Owlet-nightjars,Aegotheles_cristatus,Aegotheles cristatus,Australian Owlet-nightjar,,0.395209061
Passeriformes,Alaudidae,Larks,Melanocorypha_calandra,Melanocorypha calandra,Calandra Lark,,0.331938287
Passeriformes,Alaudidae,Larks,Calandrella_brachydactyla,Calandrella brachydactyla,Greater Short-toed Lark,,0.460880089
Passeriformes,Alaudidae,Larks,Calandrella_cinerea,Calandrella cinerea,Red-capped Lark,,0.706918511
Passeriformes,Alaudidae,Larks,Lullula_arborea,Lullula arborea,Wood Lark,,0.721679803
Passeriformes,Alaudidae,Larks,Eremophila_alpestris,Eremophila alpestris,Horned Lark,,0.766780833
Passeriformes,Alaudidae,Larks,Eremopterix_leucopareia,Eremopterix leucopareia,Fischer's Sparrow-lark,,0.824720223
Passeriformes,Alaudidae,Larks,Eremopterix_nigriceps,Eremopterix nigriceps,Black-crowned Sparrow-lark,,0.888663748
Passeriformes,Alaudidae,Larks,Mirafra_erythrocephala,Mirafra erythrocephala,Indochinese Bushlark,,0.922977961
Passeriformes,Alaudidae,Larks,Mirafra_africana,Mirafra africana,Rufous-naped Lark,,0.937037991
Passeriformes,Alaudidae,Larks,Ammomanes_phoenicura,Ammomanes phoenicura,Rufous-tailed Lark,,0.957546666
Passeriformes,Alaudidae,Larks,Galerida_malabarica,Galerida malabarica,Malabar Lark,,0.98222855
Passeriformes,Alaudidae,Larks,Eremopterix_griseus,Eremopterix griseus,Ashy-crowned Sparrow-lark,,0.992464392
Passeriformes,Alaudidae,Larks,Alauda_arvensis,Alauda arvensis,Eurasian Skylark,,0.996850059
Passeriformes,Alaudidae,Larks,Mirafra_affinis,Mirafra affinis,Jerdon's Bushlark,,1.27116412
Passeriformes,Alaudidae,Larks,Alauda_gulgula,Alauda gulgula,Oriental Skylark,,1.33109676
Passeriformes,Alaudidae,Larks,Galerida_cristata,Galerida cristata,Crested Lark,,1.449563003
Passeriformes,Alaudidae,Larks,Ammomanes_deserti,Ammomanes deserti,Desert Lark,,1.950124263
Coraciiformes,Alcedinidae,Kingfishers,Halcyon_coromanda,Halcyon coromanda,Ruddy Kingfisher,Yes,0.741245169
Coraciiformes,Alcedinidae,Kingfishers,Chloroceryle_aenea,Chloroceryle aenea,American Pygmy Kingfisher,Yes,0.747704328
Coraciiformes,Alcedinidae,Kingfishers,Actenoides_lindsayi,Actenoides lindsayi,Spotted Kingfisher,Yes,0.87544104
Coraciiformes,Alcedinidae,Kingfishers,Dacelo_leachii,Dacelo leachii,Blue-winged Kookaburra,Yes,1.016729463
Coraciiformes,Alcedinidae,Kingfishers,Halcyon_senegalensis,Halcyon senegalensis,Woodland Kingfisher,,1.035756385
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_azurea,Alcedo azurea,Azure Kingfisher,Yes,1.082411405
Coraciiformes,Alcedinidae,Kingfishers,Todiramphus_sanctus,Todiramphus sanctus,Sacred Kingfisher,Yes,1.085555233
Coraciiformes,Alcedinidae,Kingfishers,Todiramphus_macleayii,Todiramphus macleayii,Forest Kingfisher,Yes,1.150956651
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_pusilla,Alcedo pusilla,Little Kingfisher,Yes,1.217199696
Coraciiformes,Alcedinidae,Kingfishers,Alcedo_cyanopectus,Alcedo cyanopectus,Indigo-banded Kingfisher,Yes,1.223728996
Coraciiformes,Alcedinidae,Kingfishers,Chloroceryle_americana,Chloroceryle americana,Green Kingfisher,Yes,1.232813547
Coraciiformes,Alcedinidae,Kingfishers,Dacelo_novaeguineae,Dacelo novaeguineae,Laughing Kookaburra,Yes,1.238546358
