"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"162","Gallirallus okinawae","Gallirallus okinawae","Hypotaenidia okinawae","Rallidae (Rails, Gallinules, and Coots)","Okinawa Rail",0.227307254,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"163","Gallirallus philippensis","Gallirallus philippensis","Hypotaenidia philippensis","Rallidae (Rails, Gallinules, and Coots)","Buff-banded Rail",1.68081866975,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"164","Gallirallus torquatus","Gallirallus torquatus","Hypotaenidia torquata","Rallidae (Rails, Gallinules, and Coots)","Barred Rail",1.681367809,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"165","Porzana albicollis","Mustelirallus albicollis","Porzana albicollis","Rallidae (Rails, Gallinules, and Coots)","Ash-throated Crake",1.954074384,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"166","Pardirallus nigricans","Pardirallus nigricans","Pardirallus nigricans","Rallidae (Rails, Gallinules, and Coots)","Blackish Rail",2.579482545,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"167","Pardirallus sanguinolentus","Pardirallus sanguinolentus","Pardirallus sanguinolentus","Rallidae (Rails, Gallinules, and Coots)","Plumbeous Rail",1.624513369375,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"168","Gallinula ventralis","Tribonyx ventralis","Tribonyx ventralis","Rallidae (Rails, Gallinules, and Coots)","Black-tailed Nativehen",1.59552576566667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"169","Gallinula mortierii","Tribonyx mortierii","Tribonyx mortierii","Rallidae (Rails, Gallinules, and Coots)","Tasmanian Nativehen",0.661412864,NA,NA,"Gallinula mortierii","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"170","Gallinula melanops","Porphyriops melanops","Porphyriops melanops","Rallidae (Rails, Gallinules, and Coots)","Spot-flanked Gallinule",2.1198854382,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"171","Porzana carolina","Porzana carolina","Porzana carolina","Rallidae (Rails, Gallinules, and Coots)","Sora",1.48873993540741,"Porzana carolina",-0.205106789,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"172","Porzana fluminea","Porzana fluminea","Porzana fluminea","Rallidae (Rails, Gallinules, and Coots)","Australian Crake",1.50567092166667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"173","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Rallidae (Rails, Gallinules, and Coots)","Eurasian Moorhen",1.950865069,NA,NA,"Gallinula chloropus","U","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"174","Gallinula chloropus","Gallinula galeata","Gallinula galeata","Rallidae (Rails, Gallinules, and Coots)","Common Gallinule",1.76994644379412,"Gallinula galeata",0.955433695,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"175","Gallinula tenebrosa","Gallinula tenebrosa","Gallinula tenebrosa","Rallidae (Rails, Gallinules, and Coots)","Dusky Moorhen",2.088401645,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"176","Fulica rufifrons","Fulica rufifrons","Fulica rufifrons","Rallidae (Rails, Gallinules, and Coots)","Red-fronted Coot",1.7343717294,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"177","Fulica armillata","Fulica armillata","Fulica armillata","Rallidae (Rails, Gallinules, and Coots)","Red-gartered Coot",1.87171285366667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"178","Fulica atra","Fulica atra","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Eurasian Coot",1.70235462048077,NA,NA,"Fulica atra","U","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"179","Fulica cristata","Fulica cristata","Fulica cristata","Rallidae (Rails, Gallinules, and Coots)","Red-knobbed Coot",1.4461386105,NA,NA,"Fulica cristata","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"180","Fulica alai","Fulica alai","Fulica alai","Rallidae (Rails, Gallinules, and Coots)","Hawaiian Coot",1.49443645,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"181","Fulica americana","Fulica americana","Fulica americana","Rallidae (Rails, Gallinules, and Coots)","American Coot",1.85331732152778,"Fulica americana",-0.187335688,"Fulica americana","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"182","Fulica ardesiaca","Fulica ardesiaca","Fulica ardesiaca","Rallidae (Rails, Gallinules, and Coots)","Slate-colored Coot",1.04183641,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"183","Fulica leucoptera","Fulica leucoptera","Fulica leucoptera","Rallidae (Rails, Gallinules, and Coots)","White-winged Coot",1.801311044,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"184","Porphyrio martinica","Porphyrio martinica","Porphyrio martinicus","Rallidae (Rails, Gallinules, and Coots)","Purple Gallinule",1.59709518011111,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"185","Porphyrio porphyrio","Porphyrio madagascariensis","Porphyrio porphyrio","Rallidae (Rails, Gallinules, and Coots)","African Swamphen",1.78625968066667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"186","Porphyrio hochstetteri","Porphyrio hochstetteri","Porphyrio hochstetteri","Rallidae (Rails, Gallinules, and Coots)","South Island Takahe",0.020915848,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"187","Porzana cinerea","Poliolimnas cinereus","Amaurornis cinerea","Rallidae (Rails, Gallinules, and Coots)","White-browed Crake",1.6370878808,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"188","Gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","Rallidae (Rails, Gallinules, and Coots)","Watercock",1.59206299666667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"189","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Rallidae (Rails, Gallinules, and Coots)","White-breasted Waterhen",1.91398328722222,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"190","Rallina canningi","Rallina canningi","Rallina canningi","Rallidae (Rails, Gallinules, and Coots)","Andaman Crake",0.119254389,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
"191","Rallina fasciata","Rallina fasciata","Rallina fasciata","Rallidae (Rails, Gallinules, and Coots)","Red-legged Crake",3.311833145,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water "
